ID,Type,Instrument,Units,Price,Time,pl
18259,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17761,2025-09-24T02:12:34.092625744Z,
18260,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17811,2025-09-24T02:12:35.303552720Z,
18261,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17861,2025-09-24T02:12:36.082196847Z,
18262,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17911,2025-09-24T02:12:36.865263676Z,
18263,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17961,2025-09-24T02:12:37.637999052Z,
18264,MARKET_IF_TOUCHED_ORDER,EUR_USD,1000,1.18072,2025-09-24T02:12:38.420342324Z,
18265,MARKET_IF_TOUCHED_ORDER,EUR_USD,1000,1.18122,2025-09-24T02:12:39.200068628Z,
18266,MARKET_IF_TOUCHED_ORDER,EUR_USD,1000,1.18172,2025-09-24T02:12:39.964907803Z,
18267,MARKET_IF_TOUCHED_ORDER,EUR_USD,1000,1.18222,2025-09-24T02:12:40.745419170Z,
18268,MARKET_IF_TOUCHED_ORDER,EUR_USD,1000,1.18272,2025-09-24T02:12:41.528720898Z,
18269,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17908,2025-09-24T02:35:14.061281158Z,
18270,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T02:47:03.140326645Z,
18271,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T02:47:03.420814249Z,
18272,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T02:47:03.695688057Z,
18273,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T02:47:03.974265994Z,
18274,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T02:47:04.250941516Z,
18275,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T02:47:04.552608824Z,
18276,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T02:47:04.839087117Z,
18277,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T02:47:05.128818262Z,
18278,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T02:47:05.403590185Z,
18279,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T02:47:05.698881925Z,
18280,ORDER_CANCEL,N/A,N/A,N/A,2025-09-24T02:47:05.981193427Z,
18281,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17869,2025-09-24T02:48:51.360527082Z,
18282,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17889,2025-09-24T02:48:53.398073739Z,
18283,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17909,2025-09-24T02:48:54.678684124Z,
18284,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17929,2025-09-24T02:48:55.949630944Z,
