"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"14221","2025-09-23 04:20:00 -12","ORDER_FILL","MARKET_IF_TOUCHED_ORDER","EUR/USD","1.18061","1000.00","Buy","0.0513","","","","","0.00000","0.0000","0.0000","","","0.00000","","99110.75"
"14222","2025-09-23 04:20:00 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.18073","","","","","","","","","","","","","","",""
"14223","2025-09-23 04:20:00 -12","STOP_LOSS_ORDER","ON_FILL","","1.18033","","","","","","","","","","","","","","",""
"14224","2025-09-23 04:20:00 -12","ORDER_FILL","MARKET_IF_TOUCHED_ORDER","EUR/USD","1.18061","1000.00","Buy","0.0513","","","","","0.00000","0.0000","0.0000","","","0.00000","","99110.75"
"14225","2025-09-23 04:20:00 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.18073","","","","","","","","","","","","","","",""
"14226","2025-09-23 04:20:00 -12","STOP_LOSS_ORDER","ON_FILL","","1.18033","","","","","","","","","","","","","","",""
"14227","2025-09-23 04:20:00 -12","ORDER_FILL","MARKET_IF_TOUCHED_ORDER","EUR/USD","1.18061","1000.00","Buy","0.0513","","","","","0.00000","0.0000","0.0000","","","0.00000","","99110.75"
"14228","2025-09-23 04:20:00 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.18073","","","","","","","","","","","","","","",""
"14229","2025-09-23 04:20:00 -12","STOP_LOSS_ORDER","ON_FILL","","1.18033","","","","","","","","","","","","","","",""
"14230","2025-09-23 04:20:00 -12","ORDER_FILL","MARKET_IF_TOUCHED_ORDER","EUR/USD","1.18061","1000.00","Buy","0.0513","","","","","0.00000","0.0000","0.0000","","","0.00000","","99110.75"
"14231","2025-09-23 04:20:00 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.18073","","","","","","","","","","","","","","",""
"14232","2025-09-23 04:20:00 -12","STOP_LOSS_ORDER","ON_FILL","","1.18033","","","","","","","","","","","","","","",""
