"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"59025","2025-09-24 09:25:47 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17426","1000.00","Buy","","1.17406","","1.17439","","","","","","","","",""
"59026","2025-09-24 09:27:48 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"59027","2025-09-24 09:27:51 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17429","1000.00","Buy","","1.17409","","1.17442","","","","","","","","",""
"59028","2025-09-24 09:29:02 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"59029","2025-09-24 15:51:40 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17564","1000.00","Buy","","1.17540","","1.17580","","","","","","","","",""
"59030","2025-09-24 15:51:40 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17453","1000.00","Sell","","1.17477","","1.17437","","","","","","","","",""
"59031","2025-09-24 15:51:40 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17614","1000.00","Buy","","1.17590","","1.17630","","","","","","","","",""
"59032","2025-09-24 15:51:40 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17403","1000.00","Sell","","1.17427","","1.17387","","","","","","","","",""
"59033","2025-09-24 15:51:41 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17664","1000.00","Buy","","1.17640","","1.17680","","","","","","","","",""
"59034","2025-09-24 15:51:41 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17353","1000.00","Sell","","1.17377","","1.17337","","","","","","","","",""
"59035","2025-09-24 15:51:41 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17714","1000.00","Buy","","1.17690","","1.17730","","","","","","","","",""
"59036","2025-09-24 15:51:42 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17303","1000.00","Sell","","1.17327","","1.17287","","","","","","","","",""
"59037","2025-09-24 15:51:42 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17764","1000.00","Buy","","1.17740","","1.17780","","","","","","","","",""
"59038","2025-09-24 15:51:42 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17253","1000.00","Sell","","1.17277","","1.17237","","","","","","","","",""
"59039","2025-09-24 15:53:43 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"59040","2025-09-24 15:53:43 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"59041","2025-09-24 15:53:43 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"59042","2025-09-24 15:53:43 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"59043","2025-09-24 15:53:44 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
